Interaction type 	Description
0	#Drug1 may increase the anticholinergic activities of #Drug2
1	The metabolism of #Drug2 can be increased when combined with #Drug1
2	#Drug1 may decrease the vasoconstricting activities of #Drug2
3	#Drug1 may increase the anticoagulant activities of #Drug2
4	The therapeutic efficacy of #Drug2 can be increased when used in combination with #Drug1
5	#Drug1 may increase the hypoglycemic activities of #Drug2
6	#Drug1 may increase the antihypertensive activities of #Drug2
7	The serum concentration of the active metabolites of #Drug2 can be reduced when #Drug2 is used in combination with #Drug1 resulting in a loss in efficacy
8	#Drug1 may decrease the anticoagulant activities of #Drug2
9	The absorption of #Drug2 can be decreased when combined with #Drug1
10	#Drug1 may decrease the bronchodilatory activities of #Drug2
11	#Drug1 may increase the cardiotoxic activities of #Drug2
12	#Drug1 may increase the central nervous system depressant (CNS depressant) activities of #Drug2
13	#Drug1 may decrease the neuromuscular blocking activities of #Drug2
14	#Drug1 can cause an increase in the absorption of #Drug2 resulting in an increased serum concentration and potentially a worsening of adverse effects
15	#Drug1 may increase the vasoconstricting activities of #Drug2
16	#Drug1 may increase the QTc-prolonging activities of #Drug2
17	#Drug1 may increase the neuromuscular blocking activities of #Drug2
18	#Drug1 may increase the stimulatory activities of #Drug2
19	#Drug1 may increase the hypocalcemic activities of #Drug2
20	#Drug1 may increase the atrioventricular blocking (AV block) activities of #Drug2
21	#Drug1 may increase the neuroexcitatory activities of #Drug2
22	#Drug1 may decrease the diuretic activities of #Drug2
23	#Drug1 may increase the orthostatic hypotensive activities of #Drug2
24	The risk or severity of hypertension can be increased when #Drug2 is combined with #Drug1
25	#Drug1 may increase the sedative activities of #Drug2
26	The risk or severity of QTc prolongation can be increased when #Drug1 is combined with #Drug2
27	#Drug1 may increase the immunosuppressive activities of #Drug2
28	#Drug1 may increase the antipsychotic activities of #Drug2
29	#Drug1 may decrease the antihypertensive activities of #Drug2
30	#Drug1 may increase the vasodilatory activities of #Drug2
31	#Drug1 may increase the constipating activities of #Drug2
32	#Drug1 may increase the respiratory depressant activities of #Drug2
33	#Drug1 may increase the hypotensive and central nervous system depressant (CNS depressant) activities of #Drug2
34	The protein binding of #Drug2 can be decreased when combined with #Drug1
35	#Drug1 may increase the central neurotoxic activities of #Drug2
36	The metabolism of #Drug2 can be decreased when combined with #Drug1
37	#Drug1 may increase the myopathic rhabdomyolysis activities of #Drug2
38	The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2
39	#Drug1 may increase the hypercalcemic activities of #Drug2
40	#Drug1 may increase the antiplatelet activities of #Drug2
41	#Drug1 may increase the bradycardic activities of #Drug2
42	#Drug1 may increase the hyponatremic activities of #Drug2
43	The risk or severity of hypotension can be increased when #Drug1 is combined with #Drug2
44	#Drug1 may increase the nephrotoxic activities of #Drug2
45	#Drug1 may decrease the cardiotoxic activities of #Drug2
46	#Drug1 may increase the hypotensive activities of #Drug2
47	#Drug1 may decrease the stimulatory activities of #Drug2
48	The bioavailability of #Drug2 can be increased when combined with #Drug1
49	#Drug1 may increase the myelosuppressive activities of #Drug2
50	#Drug1 may increase the serotonergic activities of #Drug2
51	The risk or severity of bleeding can be increased when #Drug1 is combined with #Drug2
52	#Drug1 can cause a decrease in the absorption of #Drug2 resulting in a reduced serum concentration and potentially a decrease in efficacy
53	#Drug1 may increase the hyperkalemic activities of #Drug2
54	#Drug1 may increase the analgesic activities of #Drug2
55	The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1
56	#Drug1 may increase the hypertensive activities of #Drug2
57	#Drug1 may decrease the excretion rate of #Drug2 which could result in a higher serum level
58	The serum concentration of #Drug2 can be increased when it is combined with #Drug1
59	#Drug1 may increase the fluid retaining activities of #Drug2
60	The serum concentration of #Drug2 can be decreased when it is combined with #Drug1
61	#Drug1 may decrease the sedative activities of #Drug2
62	The serum concentration of the active metabolites of #Drug2 can be increased when #Drug2 is used in combination with #Drug1
63	#Drug1 may increase the hyperglycemic activities of #Drug2
64	#Drug1 may increase the central nervous system depressant (CNS depressant) and hypertensive activities of #Drug2
65	#Drug1 may increase the hepatotoxic activities of #Drug2
66	#Drug1 may increase the thrombogenic activities of #Drug2
67	#Drug1 may increase the arrhythmogenic activities of #Drug2
68	#Drug1 may increase the hypokalemic activities of #Drug2
69	#Drug1 may increase the vasopressor activities of #Drug2
70	#Drug1 may increase the tachycardic activities of #Drug2
